genres,num_movies
Comedy & Drama,3122
Drama & Romance,2884
Crime & Drama,2526
Comedy & Romance,1936
Drama & Action,1760
Thriller & Drama,1490
Crime & Action,1451
Adventure & Action,1437
Drama & Biography,1096
Mystery & Drama,1077
Comedy & Adventure,1042
Thriller & Crime,1015
Comedy & Action,1012
Horror & Thriller,982
Thriller & Action,979
Crime & Comedy,977
Drama & Adventure,924
Horror & Mystery,810
Horror & Drama,803
History & Drama,763
Mystery & Thriller,697
Mystery & Crime,611
Animation & Adventure,598
Fantasy & Drama,547
Family & Comedy,529
War & Drama,522
Music & Drama,487
Sci-Fi & Action,465
Horror & Sci-Fi,446
Comedy & Fantasy,446
Horror & Comedy,421
Animation & Comedy,403
Family & Drama,377
Horror & Fantasy,338
Family & Adventure,336
Sci-Fi & Drama,334
Fantasy & Adventure,330
Horror & Action,327
Fantasy & Action,301
Drama & Sport,291
History & Biography,288
Music & Comedy,286
Animation & Action,264
Sci-Fi & Adventure,264
Thriller & Sci-Fi,263
Western & Drama,250
Biography & Documentary,244
Musical & Comedy,243
Film-Noir & Drama,227
Crime & Biography,222
Horror & Crime,210
Crime & Romance,207
Film-Noir & Crime,201
Sci-Fi & Comedy,182
Family & Fantasy,180
Mystery & Comedy,176
Musical & Drama,173
Crime & Adventure,171
Adventure & Romance,162
Thriller & Comedy,160
Mystery & Sci-Fi,159
Action & Romance,151
Thriller & Adventure,151
Mystery & Action,148
Animation & Drama,147
Music & Documentary,144
History & Action,142
Musical & Romance,142
Comedy & Biography,141
Music & Biography,136
Horror & Adventure,136
Comedy & Sport,136
Music & Romance,134
Fantasy & Romance,134
History & Documentary,130
Thriller & Romance,115
Biography & Action,112
Crime & Documentary,110
Mystery & Romance,103
Mystery & Fantasy,102
War & Romance,98
War & Action,98
Animation & Family,98
Biography & Romance,97
Biography & Sport,95
History & War,92
Sport & Documentary,82
History & Romance,78
Biography & Adventure,76
War & Comedy,72
Family & Action,70
Mystery & Adventure,69
Drama & Documentary,66
History & Adventure,65
Sci-Fi & Romance,64
Animation & Fantasy,62
Comedy & Documentary,61
Sport & Romance,56
Western & Comedy,55
Family & Romance,54
Horror & Romance,52
Western & Romance,52
Sci-Fi & Fantasy,51
Music & Crime,50
Western & Adventure,47
History & Crime,46
Action & Sport,45
Thriller & War,45
History & Comedy,43
Thriller & History,39
Musical & Music,39
Western & Action,38
Sci-Fi & Crime,38
War & Adventure,37
Crime & Fantasy,35
Thriller & Fantasy,35
Musical & Family,35
Film-Noir & Thriller,33
Film-Noir & Mystery,31
War & Documentary,28
Family & Sport,28
Family & Biography,28
Animation & Sci-Fi,27
Sci-Fi & Family,26
War & Biography,25
Adventure & Documentary,23
Music & Mystery,22
Musical & Fantasy,20
Thriller & Biography,19
Family & Crime,19
Music & Family,18
Family & Documentary,18
Musical & Crime,17
Animation & Crime,17
Film-Noir & Romance,17
Western & Thriller,17
News & Documentary,16
Crime & Sport,15
Music & History,15
Music & Horror,13
Musical & Action,12
Musical & Horror,12
Action & Documentary,12
Animation & Biography,12
Music & Fantasy,11
Mystery & Documentary,11
Western & Crime,11
Musical & Adventure,11
History & Sport,10
Adventure & Sport,10
Horror & Documentary,10
History & Family,10
Horror & Family,9
Music & Adventure,9
Animation & Documentary,9
Animation & Mystery,8
Fantasy & Biography,8
Animation & Romance,8
Thriller & Sport,7
Music & Thriller,7
Horror & Western,7
Animation & Horror,7
Western & Family,7
Western & History,7
Musical & Biography,6
Thriller & Documentary,6
Mystery & Western,6
Music & Action,6
Western & Biography,6
Western & War,5
Mystery & War,5
Mystery & History,5
Musical & Animation,5
Musical & War,5
Horror & Biography,5
Mystery & Biography,5
Horror & War,5
Musical & Documentary,5
Animation & Music,5
Sci-Fi & Documentary,4
Horror & History,4
Music & Sci-Fi,4
Film-Noir & Sport,4
Mystery & Family,4
Fantasy & Documentary,4
Animation & History,4
Film-Noir & Horror,4
Sci-Fi & Sport,4
Film-Noir & Adventure,4
History & News,3
Musical & Western,3
Musical & Sport,3
Film-Noir & Comedy,3
Film-Noir & Action,3
Animation & War,3
Musical & History,3
War & Fantasy,3
Music & War,3
Family & War,2
Crime & War,2
Musical & Mystery,2
Film-Noir & Music,2
Biography & News,2
Sci-Fi & War,2
Sci-Fi & History,2
Musical & Sci-Fi,2
History & Fantasy,2
Sci-Fi & Biography,2
Western & Fantasy,2
Fantasy & Sport,2
Thriller & Family,2
Adventure & News,1
War & Sport,1
Drama & News,1
Film-Noir & Sci-Fi,1
Reality-TV & Comedy,1
Sport & News,1
Music & News,1
Reality-TV & Sci-Fi,1
Animation & Thriller,1
Animation & Sport,1
Reality-TV & Horror,1
Music & Sport,1
Music & Western,1
Reality-TV & Documentary,1
