genre1,genre2,weighted_avg_rating
Mystery,Biography,7.32
Biography,Mystery,7.31
Action,Biography,7.09
Biography,Adventure,7.08
Biography,Action,7.08
Adventure,Biography,7.07
Biography,Drama,7.07
Crime,Biography,7.04
Drama,Biography,7.04
Biography,Crime,7.04
Biography,Comedy,7.03
Comedy,Biography,7.02
Biography,Thriller,6.98
Thriller,Biography,6.97
Biography,Romance,6.84
Crime,Drama,6.83
Romance,Biography,6.82
Drama,Crime,6.81
Crime,Romance,6.77
Drama,Romance,6.76
Romance,Drama,6.76
Romance,Crime,6.76
Adventure,Drama,6.76
Drama,Adventure,6.74
Comedy,Drama,6.73
Drama,Comedy,6.72
Mystery,Romance,6.69
Romance,Mystery,6.67
Mystery,Crime,6.67
Crime,Mystery,6.67
Mystery,Drama,6.63
Thriller,Drama,6.62
Drama,Mystery,6.61
Drama,Thriller,6.61
Action,Drama,6.60
Crime,Thriller,6.60
Thriller,Crime,6.59
Adventure,Romance,6.58
Drama,Action,6.57
Romance,Adventure,6.56
Action,Mystery,6.46
Mystery,Comedy,6.45
Comedy,Mystery,6.45
Crime,Comedy,6.43
Mystery,Action,6.43
Action,Crime,6.42
Comedy,Romance,6.42
Comedy,Crime,6.42
Adventure,Mystery,6.42
Romance,Comedy,6.42
Adventure,Thriller,6.41
Crime,Action,6.40
Mystery,Adventure,6.39
Thriller,Adventure,6.39
Adventure,Comedy,6.38
Comedy,Adventure,6.36
Adventure,Action,6.35
Action,Adventure,6.35
Thriller,Romance,6.33
Romance,Thriller,6.32
Crime,Adventure,6.31
Adventure,Crime,6.31
Action,Romance,6.30
Romance,Action,6.28
Action,Thriller,6.28
Mystery,Thriller,6.27
Thriller,Action,6.26
Comedy,Thriller,6.26
Thriller,Mystery,6.26
Thriller,Comedy,6.26
Biography,Horror,6.17
Horror,Biography,6.16
Horror,Drama,6.13
Drama,Horror,6.12
Action,Comedy,6.11
Comedy,Action,6.10
Horror,Romance,6.09
Romance,Horror,6.04
Crime,Horror,6.03
Horror,Crime,6.02
Mystery,Horror,5.91
Horror,Mystery,5.90
Comedy,Horror,5.86
Horror,Comedy,5.86
Action,Horror,5.73
Horror,Action,5.70
Horror,Thriller,5.67
Thriller,Horror,5.67
Adventure,Horror,5.62
Horror,Adventure,5.60
